The 10 Wishes Exercise	Write down ten reasons you want to be wealthy, then pick the three most important ones to focus your efforts. Source: A Dog Called Money.
Dream Saving Pot	A container labeled with a specific goal where you deposit saved money to fund a single wish. Source: A Dog Called Money.
Dream Album	A collection of photos representing your goals used to visualize success and transform vague wishes into strong desires. Source: A Dog Called Money.
The Visualization Habit	Daily practice of imagining you already possess your goals, which helps you spot opportunities you would otherwise miss. Source: A Dog Called Money.
Success Diary	A notebook where you record at least five personal achievements every day to build self-confidence and belief in your abilities. Source: A Dog Called Money.
First Rule of Earning Money	Focus on solving a problem for others to find profitable opportunities and create value. Source: A Dog Called Money.
Second Rule of Earning Money	Concentrate your energy on things you already know, can do, and currently possess instead of focusing on what you lack. Source: A Dog Called Money.
The 72-Hour Rule	When you decide to take action on an idea, you must start within 72 hours, or you will likely never do it. Source: A Dog Called Money.
Debt Rule 1: Credit Cards	Destroy all credit cards because the ease of use often leads people to spend more than they would with cash. Source: A Dog Called Money.
Debt Rule 2: Loan Installments	Pay the lowest possible monthly installment on loans to ensure you have enough remaining cash to live and continue saving. Source: A Dog Called Money.
Debt Rule 3: The 50/50 Principle	Apply half of your non-living expenses to debt repayment and the other half to savings for your 'goose.' Source: A Dog Called Money.
Debt Rule 4: The Wallet Note	Keep a note in your wallet asking 'Is this really necessary?' to curb impulsive spending at the point of purchase. Source: A Dog Called Money.
The 'Golden Goose' Metaphor	The goose represents your capital, and the golden eggs represent interest; you must save enough principal so you can live off the interest without spending the capital. Source: A Dog Called Money.
The 50/40/10 Allocation Rule	Allocate 50% of income to long-term savings (the Goose), 40% to goal-oriented savings (Dream Pots), and 10% for personal spending. Source: A Dog Called Money.
Investment Principle: Safety	Ensure that your primary 'Goose' capital is invested in secure locations where it is protected from total loss. Source: A Dog Called Money.
Investment Principle: High Returns	Select investments that provide significant interest or 'golden eggs,' which typically involves long-term stock market participation. Source: A Dog Called Money.
Investment Principle: Simplicity	Choose investment vehicles that are easy to understand and simple to manage. Source: A Dog Called Money.
Rule of 72 (Interest)	Divide 72 by your annual interest rate to determine how many years it will take for your money to double. Source: A Dog Called Money.
Rule of 72 (Inflation)	Divide 72 by the annual inflation rate to find out how many years it will take for your money's value to decrease by half. Source: A Dog Called Money.
Mutual Funds	An investment where many people pool money for experts to invest in at least 20 different companies to spread out risk. Source: A Dog Called Money.
